"entrezgene","sample_1","sample_2","sample_3","sample_4"
13001,86,169,39,105
13002,204,280,119,352
13003,5109,5367,3831,22460
13004,987,2907,165,129
13006,206,834,413,2331
13007,415,260,160,157
13008,183,453,162,740
13009,1,11,1,0
13010,115,286,92,157
13011,4,13,3,3
13012,6,0,0,0
13013,2,1,0,0
13014,71,195,44,83
13016,117,122,91,103
13017,156,155,105,227
13018,166,302,166,432
13019,50,38,10,33
13024,343,272,87,178
13025,7,17,8,22
13026,137,173,82,169
13030,383,571,243,493
13032,23,129,43,58
13033,210,569,138,275
13034,321,383,252,31
13035,4,1,0,3
13036,32,41,14,23
13038,25,41,9,32
13039,217,366,100,307
13040,26,49,9,21
13041,1,8,2,8
13043,163,314,154,179
13046,74,148,97,128
13047,170,172,136,352
13048,5,7,5,25
13051,213,165,42,134
13052,74,204,74,178
13056,6,3,6,8
13057,41,49,24,36
13058,29,25,5,8
13063,284,542,229,585
13067,0,0,0,0
13070,6,9,2,9
13072,7,1,0,9
13074,2,0,0,6
13075,26,1,0,3
13076,0,0,0,0
13077,0,0,0,0
13078,17,35,12,63
13079,15,4,0,4
13081,1,2,0,0
13082,0,2,1,5
13085,11,0,0,3
13086,11,2,0,9
13087,15,0,0,11
13088,25,2,0,5
13089,10,0,0,0
13090,34,3,0,4
13094,17,0,0,2
13095,7,0,0,0
13096,2,1,0,1
13097,1,0,0,0
13098,3,4,0,0
13099,4,1,1,2
13101,7,0,2,3
13105,10,3,2,4
13106,570,903,232,790
13107,4,27,3,4
13108,5,5,0,9
13109,13,4,1,2
13110,38,44,21,92
13112,11,1,0,1
13113,11,0,1,1
13114,2,0,0,3
13115,11,4,1,1
13116,7,2,6,26
13117,26,2,0,1
13118,1,2,0,2
13119,2,5,0,8
13120,7,0,0,2
13121,98,196,113,327
13122,15,10,0,8
13123,18,23,7,56
13124,0,0,1,0
13131,35,13,4,20
13132,1116,1684,637,1416
13134,8,3,6,6
13135,119,193,70,151
13136,87,93,38,246
13137,10,11,7,40
13138,239,353,163,233
13139,29,46,29,122
13142,6,0,0,3
13143,6,10,2,0
13144,4,14,13,10
13162,7,2,0,7
13163,69,61,21,122
13164,2,14,3,11
13166,8,0,0,1
13167,51,228,108,240
13168,0,1,1,0
13169,118,205,123,123
13170,7,13,14,2
13171,1031,437,191,569
13172,2,0,0,0
13175,228,325,121,602
13176,2771,1063,370,203
13177,58,83,41,57
13178,51,93,54,49
13179,803,2914,884,1283
13180,6,10,7,2
13184,4,0,0,0
13185,34,53,30,46
13190,2,4,0,4
13191,78,109,53,41
13193,546,305,55,77
13194,590,1049,469,541
13195,9,16,7,4
13196,334,458,208,681
13197,10,5,2,11
13198,78,91,22,86
13199,4,0,0,1
13200,228,450,168,383
13202,21,51,15,27
13204,317,797,359,785
13205,467,1042,711,1521
13206,14,4,0,0
13207,603,1764,1043,2129
13209,571,924,504,925
13211,397,734,401,1366
13214,1,0,2,0
13215,0,0,0,0
13218,1,0,329,0
13226,2,0,546,0
13236,0,0,1,0
13237,0,0,445,0
13239,0,0,166,0
13244,100,337,128,351
13340,20,8,4,6
13345,29,19,12,22
13346,11,14,10,7
13347,63,74,27,91
13349,40,36,26,141
13350,42,96,59,109
13353,30,70,24,20
13356,182,265,93,104
13358,23,74,34,38
13360,57,84,25,59
13361,95,129,39,149
13363,2,1,3,3
13367,47,70,39,56
13368,17,28,12,26
13370,0,0,3,0
13371,34,24,20,132
13380,757,265,7,25
13382,157,293,130,227
13383,213,356,208,389
13384,16,24,5,16
13385,99,114,108,191
13386,368,425,104,161
13388,5,7,6,4
13389,5,1,0,2
13390,4,14,4,2
13392,3,6,2,0
13393,12,5,3,26
13394,2,0,0,5
13395,10,82,27,69
13396,3,7,5,18
13397,0,0,0,0
13400,34,47,19,85
13401,59,85,50,58
13404,4,14,1,5
13405,197,235,111,151
13406,10,8,1,8
13409,27,10,4,7
13411,107,150,85,137
13417,44,60,27,55
13418,284,462,207,457
13419,51,85,32,59
13421,49,48,2,36
13423,290,598,222,301
13424,730,1185,663,1323
13426,15,28,6,11
13427,182,433,226,583
13429,436,547,293,1120
13430,131,248,106,246
13433,307,414,274,957
13434,30,23,15,38
13435,788,1342,695,1266
13436,28,63,21,45
13437,57,87,52,41
13445,737,758,366,796
13446,65,85,46,74
13447,66,72,45,160
13448,1,1,0,1
13449,4,20,9,20
13476,217,314,120,245
13478,58,88,43,100
13479,11,1,4,24
13480,15,38,12,7
13481,42,92,20,44
13482,133,103,15,3
13483,11,24,8,21
13486,40,92,38,68
13487,12,1,0,3
13488,6,0,0,1
13489,6,0,0,0
13490,8,0,0,0
13491,6,3,2,4
13492,9,0,0,5
13494,105,196,117,224
13495,41,102,49,97
13496,51,37,8,81
13497,115,89,59,151
13498,254,349,116,783
13505,9,0,0,0
13506,10,15,8,10
13507,3,6,5,2
13508,19,6,0,8
13510,11,6,0,2
13511,58,41,16,52
13512,358,114,18,255
13516,4,7,4,1
13518,658,1004,762,1945
13521,66,72,46,43
13522,486,658,219,262
13524,3,0,0,1
13525,19,0,0,0
13526,1,0,0,0
13527,43,57,32,59
13528,94,159,68,115
13529,0,0,0,0
13531,487,160,29,293
13532,9,0,0,0
13537,25,8,0,5
13542,54,49,32,42
13543,187,310,115,237
13544,316,392,140,638
13548,239,433,233,552
13549,17,38,20,23
13555,15901,12765,170,6337
13557,91,196,87,197
13559,51,113,41,64
13560,132,125,48,149
13586,5,1,0,0
13587,0,0,0,0
13589,1246,2429,984,821
13590,1,0,0,1
13591,84,135,117,154
13592,14,12,12,20
13593,160,101,45,274
13595,10,14,5,16
13599,9,0,0,1
13601,3,30,7,15
13602,197,164,91,330
13603,16,2,1,7
13605,49,95,48,74
13607,101,145,67,106
13608,7,5,1,0
13609,80,48,32,113
13610,797,812,428,943
13611,103,179,80,84
13612,101,131,63,62
13614,5,9,4,23
13615,1,0,0,1
13616,58,94,25,163
13617,1379,891,516,4103
13618,216,98,26,146
13619,239,241,120,630
13626,75,164,69,268
13627,7046,12207,5388,12320
13628,1,0,0,0
13629,1476,3008,1529,2928
13631,71,91,35,38
13636,59,36,23,47
13637,27,56,29,9
13638,9,8,2,1
13639,59,86,38,209
13640,337,721,277,458
13641,134,162,67,154
13642,288,560,239,250
13643,113,103,52,95
13644,48,69,41,87
13645,15,15,6,39
13646,6,1,0,8
13648,2,1,4,2
13649,86,107,50,170
13650,29,38,12,17
13653,27,18,21,57
13654,9,6,2,13
13655,6,9,2,0
13656,2,0,0,0
13660,52,99,33,65
13661,53,70,56,22
13663,97,196,100,250
13664,155,434,157,277
13665,204,438,173,388
